geoid,name,B25001001,"B25001001, Error"
86000US07002,7002,27237,713
86000US07008,7008,8456,511
86000US07020,7020,6479,308
86000US07024,7024,18768,527
86000US07030,7030,27740,539
86000US07036,7036,16495,427
86000US07047,7047,23650,711
86000US07064,7064,1350,138
86000US07077,7077,1112,205
86000US07086,7086,7731,358
86000US07093,7093,25670,731
86000US07202,7202,14180,640
86000US07206,7206,8866,548
86000US07302,7302,25615,782
86000US07305,7305,25536,779
86000US07310,7310,6639,429
86000US07311,7311,314,143
86000US07620,7620,572,76
86000US07632,7632,2090,123
86000US07670,7670,4776,238
86000US08861,8861,18437,617
86000US10001,10001,15365,729
86000US10002,10002,36530,984
86000US10003,10003,29977,914
86000US10004,10004,2306,398
86000US10005,10005,5979,479
86000US10006,10006,2219,270
86000US10007,10007,3652,440
86000US10009,10009,31277,1158
86000US10010,10010,19155,1135
86000US10011,10011,34105,1319
86000US10012,10012,14779,754
86000US10013,10013,14756,823
86000US10014,10014,20877,810
86000US10016,10016,35125,1337
86000US10017,10017,12880,994
86000US10018,10018,5154,354
86000US10019,10019,33471,1389
86000US10020,10020,0,12
86000US10021,10021,29204,1289
86000US10022,10022,23942,1248
86000US10023,10023,41828,1681
86000US10024,10024,34929,1523
86000US10025,10025,47372,1701
86000US10026,10026,16910,763
86000US10027,10027,26597,954
86000US10028,10028,29193,1527
86000US10029,10029,35038,1481
86000US10030,10030,14119,749
86000US10031,10031,23809,790
86000US10032,10032,23439,1121
86000US10033,10033,21007,786
86000US10034,10034,16677,670
86000US10035,10035,15730,674
86000US10036,10036,21262,1060
86000US10037,10037,10965,619
86000US10038,10038,12415,787
86000US10039,10039,12137,675
86000US10040,10040,16946,649
86000US10044,10044,5728,403
86000US10065,10065,21801,1084
86000US10069,10069,3997,618
86000US10075,10075,14190,1167
86000US10103,10103,0,12
86000US10110,10110,0,12
86000US10111,10111,0,12
86000US10112,10112,0,12
86000US10115,10115,0,12
86000US10119,10119,0,12
86000US10128,10128,35039,1383
86000US10152,10152,0,12
86000US10153,10153,0,12
86000US10154,10154,0,12
86000US10162,10162,742,289
86000US10165,10165,0,12
86000US10167,10167,0,12
86000US10168,10168,0,12
86000US10169,10169,0,12
86000US10170,10170,0,12
86000US10171,10171,0,12
86000US10172,10172,0,12
86000US10173,10173,0,12
86000US10174,10174,0,12
86000US10177,10177,0,12
86000US10199,10199,0,12
86000US10271,10271,0,12
86000US10278,10278,0,12
86000US10279,10279,102,90
86000US10280,10280,5247,607
86000US10282,10282,2840,358
86000US10301,10301,16494,628
86000US10302,10302,6754,490
86000US10303,10303,9521,526
86000US10304,10304,16454,734
86000US10305,10305,16800,684
86000US10306,10306,21077,720
86000US10307,10307,5292,315
86000US10308,10308,11158,656
86000US10309,10309,12125,707
86000US10310,10310,9732,531
86000US10311,10311,0,12
86000US10312,10312,22131,825
86000US10314,10314,33345,982
86000US10451,10451,20686,916
86000US10452,10452,27798,1046
86000US10453,10453,28166,1082
86000US10454,10454,14284,692
86000US10455,10455,15377,881
86000US10456,10456,32730,1421
86000US10457,10457,25492,1081
86000US10458,10458,30772,1082
86000US10459,10459,18125,775
86000US10460,10460,21240,768
86000US10461,10461,20220,674
86000US10462,10462,30416,909
86000US10463,10463,30404,1110
86000US10464,10464,2058,210
86000US10465,10465,17108,799
86000US10466,10466,26088,1074
86000US10467,10467,39617,1093
86000US10468,10468,27858,1287
86000US10469,10469,23919,891
86000US10470,10470,6338,414
86000US10471,10471,9382,464
86000US10472,10472,23836,814
86000US10473,10473,22809,1065
86000US10474,10474,3915,322
86000US10475,10475,18812,1092
86000US10550,10550,15400,727
86000US10704,10704,12365,605
86000US10705,10705,15494,761
86000US10803,10803,4182,219
86000US10805,10805,8276,497
86000US11001,11001,9175,435
86000US11003,11003,12932,536
86000US11004,11004,4973,317
86000US11005,11005,1939,489
86000US11020,11020,1963,220
86000US11021,11021,8208,298
86000US11040,11040,13357,537
86000US11042,11042,0,12
86000US11096,11096,2719,274
86000US11101,11101,21280,803
86000US11102,11102,18076,645
86000US11103,11103,18395,573
86000US11104,11104,12494,509
86000US11105,11105,17347,558
86000US11106,11106,19538,694
86000US11109,11109,4334,416
86000US11201,11201,31956,785
86000US11203,11203,32569,898
86000US11204,11204,25783,752
86000US11205,11205,18372,770
86000US11206,11206,33188,902
86000US11207,11207,37605,1016
86000US11208,11208,38573,1264
86000US11209,11209,32837,931
86000US11210,11210,23734,787
86000US11211,11211,44181,1236
86000US11212,11212,34401,1131
86000US11213,11213,28469,1071
86000US11214,11214,33632,812
86000US11215,11215,30992,1121
86000US11216,11216,28470,920
86000US11217,11217,20776,707
86000US11218,11218,26426,1043
86000US11219,11219,26843,952
86000US11220,11220,30135,914
86000US11221,11221,36147,1176
86000US11222,11222,19390,791
86000US11223,11223,29897,883
86000US11224,11224,20584,845
86000US11225,11225,25651,874
86000US11226,11226,40989,913
86000US11228,11228,16614,550
86000US11229,11229,33848,828
86000US11230,11230,33404,875
86000US11231,11231,17230,754
86000US11232,11232,9635,569
86000US11233,11233,33791,1138
86000US11234,11234,34496,822
86000US11235,11235,35127,932
86000US11236,11236,36659,858
86000US11237,11237,18709,758
86000US11238,11238,27598,974
86000US11239,11239,6949,473
86000US11354,11354,22646,1060
86000US11355,11355,30627,1009
86000US11356,11356,7900,466
86000US11357,11357,15633,655
86000US11358,11358,13710,630
86000US11359,11359,0,12
86000US11360,11360,9423,518
86000US11361,11361,11619,786
86000US11362,11362,7601,546
86000US11363,11363,2802,257
86000US11364,11364,13960,542
86000US11365,11365,16274,1004
86000US11366,11366,4873,306
86000US11367,11367,15223,611
86000US11368,11368,30189,1047
86000US11369,11369,13891,500
86000US11370,11370,10989,555
86000US11371,11371,0,12
86000US11372,11372,25717,924
86000US11373,11373,34328,1095
86000US11374,11374,20535,771
86000US11375,11375,34783,1079
86000US11377,11377,33644,1084
86000US11378,11378,14180,580
86000US11379,11379,14685,630
86000US11385,11385,38469,731
86000US11411,11411,6366,304
86000US11412,11412,12027,480
86000US11413,11413,13500,538
86000US11414,11414,11746,595
86000US11415,11415,8997,374
86000US11416,11416,7979,487
86000US11417,11417,9577,432
86000US11418,11418,11987,677
86000US11419,11419,13204,639
86000US11420,11420,14205,534
86000US11421,11421,12389,534
86000US11422,11422,10516,459
86000US11423,11423,10446,544
86000US11424,11424,0,12
86000US11426,11426,6716,472
86000US11427,11427,8197,411
86000US11428,11428,6510,587
86000US11429,11429,8354,592
86000US11430,11430,0,12
86000US11432,11432,20105,726
86000US11433,11433,11433,504
86000US11434,11434,22644,833
86000US11435,11435,20323,989
86000US11436,11436,5908,314
86000US11451,11451,0,12
86000US11509,11509,1199,143
86000US11559,11559,2669,417
86000US11580,11580,13646,686
86000US11581,11581,7410,431
86000US11691,11691,22279,964
86000US11692,11692,7826,427
86000US11693,11693,5780,531
86000US11694,11694,9005,337
86000US11697,11697,2628,236